fileID,f1,f2,vot,notes
bi03_tuku2,401.23,758.25,25.43,NA
ne01_kaka,881.6,1698.1,63.78,NA
ne01_kaka1,946.75,1779.08,65.97,NA
ne01_kaka2,1064.08,1775.91,41.75,NA
ne01_keke,475.12,2512.6,47.82,NA
ne01_keke1,600.98,2423.99,34.22,NA
ne01_keke2,488.68,2662.37,36.42,NA
ne01_kiki,342.77,2845.09,47.79,NA
ne01_kiki1,1038.44,2400.87,66.81,NA
ne01_kiki2,438.63,2777.42,49.4,NA
ne01_koko,671.09,1116.83,47.57,NA
ne01_koko1,577.09,1061.81,45.14,NA
ne01_koko2,658.78,1101.82,39.16,NA
ne01_kuku,487.55,1101.71,62.23,NA
ne01_kuku1,443.86,1011.44,67.75,NA
ne01_kuku2,1015.44,1949.74,73.08,NA
ne01_paka,742.69,1512,36.44,NA
ne01_paka1,798.08,1527.58,24.51,NA
ne01_paka2,849.17,1653.07,51.34,NA
ne01_peke,456.81,2638.58,32.77,NA
ne01_peke1,384.44,2671.79,56.77,NA
ne01_peke2,545.06,2512.15,44.62,NA
ne01_piki,403.4,2817.43,42.33,NA
ne01_piki1,419.56,2871.38,32.67,NA
ne01_piki2,372.17,2932.55,22.84,NA
ne01_poko,522.94,1080.86,38.37,NA
ne01_poko1,587.43,1156.52,21.92,NA
ne01_poko2,500.79,1049.23,31.11,NA
ne01_puku,417.44,1061.64,44.59,NA
ne01_puku1,446.5,1068.38,54.18,NA
ne01_puku2,438.93,1011.26,63.74,NA
ne01_taka,883.2,1703.92,21.78,NA
ne01_taka1,1215.1,1795.38,24.19,NA
ne01_taka2,964.87,1664.86,26.72,NA
ne01_teke,504.72,2473.22,27.93,NA
ne01_teke1,547.76,2468.83,31.11,NA
ne01_teke2,879.19,2515.67,35.53,NA
ne01_tiki,401.15,2927.22,43.02,NA
ne01_tiki1,384.08,2838,30.53,NA
ne01_tiki2,354.92,3009.25,41.75,NA
ne01_toko,614.25,1042.15,40.98,NA
ne01_toko1,513.17,1080.72,35.1,NA
ne01_toko2,543.26,1060.22,30.32,NA
ne01_tuku,424.38,1057.8,54.62,NA
ne01_tuku1,412.36,1074.54,47.82,NA
ne01_tuku2,1060.03,1676.01,56.77,NA
ne02_kaka,729.16,1520.67,55.04,NA
ne02_kaka1,928.36,2276.86,70.47,NA
ne02_kaka2,304.65,1533.61,65.58,NA
ne02_keke,477.98,2411.18,56.48,NA
ne02_keke1,401.87,2495.29,62.23,NA
ne02_keke2,496.58,2244.58,107.49,NA
ne02_kiki,355.61,2683.5,66.93,NA
ne02_kiki1,346.05,2763.99,87.29,NA
ne02_kiki2,319.32,2782.4,78.09,NA
ne02_koko,556.07,1042.1,59.19,NA
ne02_koko1,451.77,1018.45,50.11,NA
ne02_koko2,541.31,1080.43,61.19,NA
ne02_kuku,801.65,1054.68,74.41,NA
ne02_kuku1,340.73,1140.16,73.47,NA
ne02_kuku2,479.36,1141.58,63.43,NA
ne02_paka,760,1648.97,33.19,NA
ne02_paka1,868.38,1517.22,31.72,NA
ne02_paka2,1037.94,1783.22,27.31,NA
ne02_peke,550.86,2384.7,55.1,NA
ne02_peke1,519.91,2463.67,28.17,NA
ne02_peke2,530.18,2468.28,49,NA
ne02_piki,325.14,2607.8,39.28,NA
ne02_piki1,370.89,2644.09,32.54,NA
ne02_piki2,453.45,2622.94,34.91,NA
ne02_poko,582.31,1046.03,35.06,NA
ne02_poko1,978.44,2095.8,38.41,NA
ne02_poko2,812.07,2005.41,35.68,NA
ne02_puku,435.81,1052.35,33.48,NA
ne02_puku1,493.95,1208.34,44.62,NA
ne02_puku2,448.42,1261.48,27.08,NA
ne02_taka,845.62,1753.14,37.5,NA
ne02_taka1,840.03,1606.67,23.9,NA
ne02_taka2,812.58,1648.44,28.83,NA
ne02_teke,517.88,2371.59,33.39,NA
ne02_teke1,483.06,2445.5,37.94,NA
ne02_teke2,688.93,1827.72,45.39,NA
ne02_tiki,301.8,2874.6,40.99,NA
ne02_tiki1,311.39,2746.03,52.08,NA
ne02_tiki2,288.99,2700.88,40.22,NA
ne02_toko,507.55,1008.23,36.73,NA
ne02_toko1,591.83,1151.95,54.74,NA
ne02_toko2,544.61,1018.46,45.39,NA
ne02_tuku,470.45,1305.11,36.14,NA
ne02_tuku1,447.38,1131.5,48.42,NA
ne02_tuku2,742.66,1618.6,32.8,NA
ne03_kaka,781.59,1797.34,31.47,NA
ne03_kaka1,813.35,1747.67,34.15,NA
ne03_kaka2,879.86,1702.2,40.65,NA
ne03_keke,585.73,2640.75,34.9,NA
ne03_keke1,564.63,1726.55,31.48,NA
ne03_keke2,561.12,2589.05,40.01,NA
ne03_kiki,492.14,2703.32,44.4,NA
ne03_kiki1,402.78,1803.08,36.65,NA
ne03_kiki2,380.52,2715.2,33.53,NA
ne03_koko,512.16,1070.98,54.43,NA
ne03_koko1,543.79,1214.42,37.9,NA
ne03_koko2,573.95,1092.31,38.4,NA
ne03_kuku,516.07,992.13,57.56,NA
ne03_kuku1,466.68,1071.68,62.43,NA
ne03_kuku2,412.23,1063.04,51.96,NA
ne03_paka,857.88,1755.9,17.75,NA
ne03_paka1,748.62,1807.07,26.67,NA
ne03_paka2,769.65,1882.12,23.21,NA
ne03_peke,547.89,1837.46,21.84,NA
ne03_peke1,860.17,2465.09,41.03,NA
ne03_peke2,618.22,1671.27,28,NA
ne03_piki,364.13,2468.18,32.28,NA
ne03_piki1,379.64,2273.84,39.6,NA
ne03_piki2,398.65,2116.09,25.8,NA
ne03_poko,642.69,1113.22,31.87,NA
ne03_poko1,579.05,1189.77,42.91,NA
ne03_poko2,594.01,1101.9,51,NA
ne03_puku,613,1170.26,36.73,NA
ne03_puku1,424.97,964.23,54.09,NA
ne03_puku2,505.59,1008.43,83.24,NA
ne03_taka,531.7,1015.13,26.45,NA
